Paragraph,yake_keywords,yake_execution_time,keybert_keyphrases,execution_time,embedrank_keywords,embedrank_time
your future products growth,"['future products growth', 'products growth', 'future products', 'growth', 'future', 'products']",0.0080015659332275,"['future products growth', 'future products', 'growth', 'products', 'future']",0.1590979099273681,"['future products growth', 'future products', 'products growth', 'future', 'products']",0.22810602188110352
"HNB FINANCE been our financial partner over years now . Therefore , we have been able business","['HNB FINANCE', 'financial partner', 'partner over years', 'HNB', 'FINANCE', 'business', 'financial', 'partner', 'years']",0.0149979591369628,"['hnb finance financial', 'financial partner', 'partner years able', 'business', 'able']",0.3636078834533691,"['hnb finance financial', 'HNB FINANCE', 'financial partner', 'partner over years', 'HNB']",0.3761875629425049
"Us financial institution passionate team customer centric , well diversified products services responsible sustainable","['team customer centric', 'services responsible sustainable', 'financial institution passionate', 'institution passionate team', 'passionate team customer', 'diversified products services', 'products services responsible', 'customer centric', 'responsible sustainable', 'financial institution']",0.0815472602844238,"['team customer centric', 'diversified products services', 'financial institution passionate', 'sustainable', 'centric diversified']",0.5117490291595459,"['financial institution passionate', 'institution passionate team', 'passionate team customer', 'financial institution', 'team customer centric']",0.3826627731323242
"I benefit money business while I able loan without any guarantors through Swashakthi Savings , I able easily money I .","['benefit money business', 'Swashakthi Savings', 'guarantors through Swashakthi', 'benefit money', 'money business', 'easily money', 'Savings', 'Swashakthi', 'money', 'benefit']",0.0387284755706787,"['swashakthi savings able', 'able easily money', 'loan guarantors', 'benefit', 'business']",0.6524093151092529,"['swashakthi savings able', 'Swashakthi Savings', 'guarantors through Swashakthi', 'Swashakthi', 'benefit money business']",0.6258633136749268
HNB FINANCE partners Kiya.ai January,"['HNB FINANCE partners', 'partners Kiya.ai January', 'FINANCE partners Kiya.ai', 'HNB FINANCE', 'Kiya.ai January', 'FINANCE partners', 'partners Kiya.ai', 'HNB', 'January', 'FINANCE']",0.0369977951049804,"['hnb finance partners', 'hnb', 'partners kiya ai', 'finance', 'kiya ai january']",0.3410804271697998,"['FINANCE partners Kiya.ai', 'hnb finance partners', 'HNB FINANCE partners', 'partners Kiya.ai January', 'partners Kiya.ai']",0.5068376064300537
"HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , prev next","['HNB FINANCE International', 'HNB FINANCE partners', 'HNB FINANCE presence', 'HNB Finance young', 'FINANCE International Women', 'Wijeyawardana Vidyalaya February', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'Workshop Wijeyawardana Vidyalaya']",0.0985424518585205,"['hnb finance partners', 'women day', 'daskam art workshop', 'vidyalaya february prev', 'presence branch mullaitivu']",1.90390419960022,"['hnb finance partners', 'HNB FINANCE partners', 'HNB Finance young', 'HNB FINANCE presence', 'HNB FINANCE International']",0.9695897102355957
Mehewara fund series ongoing CSR projects our customers need . fund financial contribution our dedicated employees organisation .,"['series ongoing CSR', 'ongoing CSR projects', 'dedicated employees organisation', 'Mehewara fund series', 'fund series ongoing', 'fund financial contribution', 'ongoing CSR', 'CSR projects', 'employees organisation', 'Mehewara fund']",0.0560131072998046,"['csr projects customers', 'customers need fund', 'contribution dedicated employees', 'mehewara fund', 'series ongoing']",0.6670711040496826,"['Mehewara fund', 'mehewara fund', 'Mehewara fund series', 'csr projects customers', 'ongoing CSR projects']",0.5352935791015625
"HNB FINANCE been immense strength our lives HNB FINANCE been our financial partner over years now . Therefore , we have been able business so . I benefit money business while I able loan without any guarantors through Swashakthi Savings , I able easily money I .","['lives HNB FINANCE', 'HNB FINANCE', 'benefit money business', 'Swashakthi Savings', 'FINANCE been immense', 'lives HNB', 'guarantors through Swashakthi', 'immense strength', 'strength our lives', 'financial partner']",0.062525987625122,"['hnb finance', 'swashakthi', 'guarantors', 'immense strength lives', 'partner years']",1.134453535079956,"['hnb finance', 'HNB FINANCE', 'lives HNB FINANCE', 'benefit money business', 'Swashakthi Savings']",0.7341794967651367
HNB FINANCE International Women s Day March,"['HNB FINANCE International', 'FINANCE International Women', 'HNB FINANCE', 'Day March', 'FINANCE International', 'International Women', 'Women s Day', 'HNB', 'March', 'FINANCE']",0.0360159873962402,"['women day march', 'finance international women', 'hnb finance', 'day', 'international']",0.3139567375183105,"['finance international women', 'FINANCE International Women', 'HNB FINANCE International', 'women day march', 'hnb finance']",0.41618895530700684
"Success Stories Our keen focus entrepreneurs across country us SME SSE communities their full potential . HNB FINANCE been immense strength our lives HNB FINANCE been our financial partner over years now . Therefore , we have been able business so . I benefit money business while I able loan without any guarantors through Swashakthi Savings , I able easily money I .","['lives HNB FINANCE', 'SME SSE communities', 'keen focus entrepreneurs', 'HNB FINANCE', 'benefit money business', 'Swashakthi Savings', 'SME SSE', 'Success Stories', 'FINANCE been immense', 'lives HNB']",0.0695607662200927,"['potential hnb finance', 'success stories keen', 'guarantors swashakthi', 'country sme sse', 'able easily']",1.881498098373413,"['potential hnb finance', 'lives HNB FINANCE', 'HNB FINANCE', 'keen focus entrepreneurs', 'benefit money business']",0.7457010746002197
"HNB FINANCE been immense strength our lives HNB FINANCE been our financial partner over years now . Therefore , we have been able business","['lives HNB FINANCE', 'HNB FINANCE', 'FINANCE been immense', 'lives HNB', 'immense strength', 'strength our lives', 'financial partner', 'partner over years', 'FINANCE', 'HNB']",0.0280048847198486,"['hnb finance immense', 'lives hnb', 'partner years', 'business', 'strength lives']",0.5909230709075928,"['hnb finance immense', 'HNB FINANCE', 'lives HNB FINANCE', 'FINANCE been immense', 'FINANCE']",0.7603044509887695
HNB FINANCE been immense strength our lives,"['HNB FINANCE', 'FINANCE been immense', 'strength our lives', 'HNB', 'immense strength', 'FINANCE', 'lives', 'immense', 'strength']",0.0145227909088134,"['hnb finance immense', 'hnb', 'finance', 'strength lives', 'immense']",0.2906167507171631,"['hnb finance immense', 'HNB FINANCE', 'FINANCE been immense', 'HNB', 'hnb']",0.4220550060272217
