Comment,Aspect,Date,brand,trigger_keywords
වීඩියෝ එකක් හොය මින් ඉද්දි දැක්කෙ දැන් දාලා තියෙන්නේ  ,,2024-10-05T06:11:58Z,Hatton National Bank,['HNB']
ohoma karala Othanadi enter karanna ena coad ekamada api card eka dala salli gannakotath enter karanna ona,,2025-05-17T00:09:11Z,Hatton National Bank,['HNB']
Ethakota bilak 4n ekata enawada,,2025-05-10T01:33:30Z,Hatton National Bank,['HNB']
Bro hnb ek add karapu acc delete karn puluwand,,2025-03-24T08:13:52Z,Hatton National Bank,['HNB']
e kiwwe laksa 5k mammoth master 35k enawa kiyalada,,2024-07-09T08:02:12Z,Hatton National Bank,['HNB']
Hnb insurense danna apa kiyana widiyata eeda na,,2024-12-16T11:22:46Z,Hatton National Bank,['HNB']
"5,000,000 ka ta aurudu 2 k fd ekak dammot mase poliya kiyda apita gnna puluwan",,2024-05-15T16:05:09Z,Hatton National Bank,['HNB']
Katahari waradila watuna pacakge ekak sathiyak withr nawaththl thiyl passe aye wada krn widihata hdnn brid,,2024-05-04T05:42:29Z,Hatton National Bank,['HNB']
Ayye,,2024-05-04T05:41:48Z,Hatton National Bank,['HNB']
Mekata register venna bank ekatama yanna oni naneda,,2025-04-04T02:13:39Z,Hatton National Bank,['HNB']
Ana mga pon akan ywanna ba dan essalla yuwa at dan kod  msg aka anna na ne  mama dnata enna lankawa nwai mata a gna podak kiyannako,,2025-02-06T03:37:12Z,Hatton National Bank,['HNB']
Mage acc den active neha kiyala wetenawane.mama inne rata kohomada hadaganne,,2024-12-20T12:23:45Z,Hatton National Bank,['HNB']
Username eka amathaka unama mokada jaranne. Password eka mathakai,,2024-11-13T07:54:53Z,Hatton National Bank,['HNB']
Meke trancefication delete karanne kohomada,,2024-09-22T04:20:28Z,Hatton National Bank,['HNB']
Mage hnb ekata log venda bane,,2024-07-19T04:11:08Z,Hatton National Bank,['HNB']
Email aka add karanne kohomada?,,2024-03-29T12:49:09Z,Hatton National Bank,['HNB']
වවගගනමම්ස්න්ංන්,,2024-03-25T09:41:39Z,Hatton National Bank,['HNB']
Block unama vena phone ekakin haduvakida,,2024-03-04T07:37:56Z,Hatton National Bank,['HNB']
Aiye me app ekata dawasa gane kiyak hari kepenawada ape account eken,,2024-02-24T19:06:00Z,Hatton National Bank,['HNB']
Mata add karaganna bene,,2024-02-24T13:39:24Z,Hatton National Bank,['HNB']
mge app ekt rejester venn bane ,,2024-01-10T03:16:18Z,Hatton National Bank,['HNB']
Binance ekatath salli ganna puluwanda,,2023-11-15T10:45:03Z,Hatton National Bank,['HNB']
Mata eka karanna bane,,2023-08-29T16:43:48Z,Hatton National Bank,['HNB']
Pin cid eka illnaoo ayi ee,,2023-08-29T03:53:11Z,Hatton National Bank,['HNB']
Mata hdn bane,,2023-08-28T13:53:31Z,Hatton National Bank,['HNB']
HNB card eken salli ganna ynna onee HNB ATM ekakatama da? Nattam wena ATM walinuth puluwan da….danna kenek kiyannko,,2025-04-04T03:31:11Z,Hatton National Bank,['HNB']
ඔයාට ගොඩක් ස්තූතියි.කියල දෙන දේ හොඳට තේරෙනවා.,,2024-08-20T15:15:57Z,Hatton National Bank,['HNB']
"ඉතාමත් හොඳයි ,වටිනා දෙයක්.",,2024-06-08T04:21:57Z,Hatton National Bank,['HNB']
කියලා දෙන විදිය හරියටම හරි බ්‍රෝ,,2024-01-11T08:25:56Z,Hatton National Bank,['HNB']
Ane sampath bank eke atm rken salli ganna video ekk one,,2024-01-11T01:32:03Z,Hatton National Bank,['HNB']
@EndlessDestiny bhaiya bcom course hey?,,2024-07-30T21:36:27Z,Hatton National Bank,['HNB']
Bhaiya b.pharma ki course kaisi hai waha? placement hote hai?,,2023-09-03T23:34:34Z,Hatton National Bank,['HNB']
Bhaiya cuet score 216/600 kya mera b.pharm me ho jayega??....HNGBU me plzz reply,,2023-07-21T08:45:17Z,Hatton National Bank,['HNB']
Bhaiya bsc maths ki cut off kitne rahte hai ?,,2023-06-23T12:28:53Z,Hatton National Bank,['HNB']
Bhaiya yaha hostel aur mess charge kitna lagta hai plzz bataiye,,2023-06-03T04:41:48Z,Hatton National Bank,['HNB']
Bhaiya HNBGU me semester results 2-3 months late aate hai is this true???,,2022-10-27T19:25:21Z,Hatton National Bank,['HNB']
Bhaiya ye political science k liye kysa hai... ,,2022-10-13T11:25:00Z,Hatton National Bank,['HNB']
Bhaiya Mera CUET ke through bsc math Hons me ho gya hai to university kasa hai because I am from Uttar Pradesh state board kya teacher only English me padte hai please reply me.,,2022-10-08T13:15:08Z,Hatton National Bank,['HNB']
Bhaiya cuet ka exam diya tha for history hons,,2022-09-10T06:38:10Z,Hatton National Bank,['HNB']
"Ane mn inne kuwait.mta mehe idan me appa download karagena ,mage ganudenu katayuthu karagannn  plwnda.mta online sambanda wenn plwn numbr ekak denn plwnda bank eke",,2025-04-23T17:43:50Z,Hatton National Bank,['HNB']
බොහොම ස්තූතියි,,2024-08-02T05:19:13Z,Hatton National Bank,['HNB']
Kuhaka ne like ekak demm ,,2024-06-25T07:44:06Z,Hatton National Bank,['HNB']
සමහර ඒවා ඇහෙන්නෙත් නැ,,2024-04-30T17:05:39Z,Hatton National Bank,['HNB']
Rata inna kenekta sim eka genath nat nam code eka hadaganne kohomada,,2024-04-17T17:49:12Z,Hatton National Bank,['HNB']
Mata next kkyana option hide vela pennanava bang,,2024-02-16T11:23:02Z,Hatton National Bank,['HNB']
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:34:06Z,Hatton National Bank,['HNB']
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:34:01Z,Hatton National Bank,['HNB']
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:32:43Z,Hatton National Bank,['HNB']
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:32:38Z,Hatton National Bank,['HNB']
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:32:33Z,Hatton National Bank,['HNB']
"Rosa pata unnane like button eka 

Thank you bokka loku udawwak patta watinawa ",,2023-10-26T03:01:55Z,Hatton National Bank,['HNB']
Transfer ekak karanna account eka hadala e welema berida,,2023-06-23T03:15:14Z,Hatton National Bank,['HNB']
Mokadda ane oita wada sadda ahenna katha karanna barida mona reddakwath ahenne na    4n eka කනට lan karala ahanna one   ethkota vedio eka penne na 🤦,,2023-03-07T14:53:42Z,Hatton National Bank,['HNB']
Maximum keeyak transfer karanna puluwanda,,2022-05-18T14:21:51Z,Hatton National Bank,['HNB']
Bro Naan foreign la irukain enahku otp number eduka mudiyama iruku gimail la sms varamthiri ethum seya mudiuma athusammnthama kunjam sollungka,,2023-06-22T07:32:04Z,Hatton National Bank,['HNB']
